City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Kapaa,US,22.0752,-159.319,74.1,86,26,1.01
1,Bataipora,BR,-22.2953,-53.2711,68.09,83,94,4.5
2,Rikitea,PF,-23.1203,-134.9692,69.06,80,65,23.49
3,Mataura,NZ,-46.1927,168.8643,46.2,97,54,4.27
4,Guerrero Negro,MX,27.9769,-114.0611,69.28,68,98,5.21
5,Bilibino,RU,68.0546,166.4372,-10.7,100,97,2.84
6,Yellowknife,CA,62.456,-114.3525,27.12,80,100,11.5
7,Albany,US,42.6001,-73.9662,41.72,86,47,4.07
8,Saskylakh,RU,71.9167,114.0833,20.01,89,72,18.75
9,Jaguarari,BR,-10.2639,-40.1958,69.66,67,90,13.85
10,Jiayuguan,CN,39.8167,98.3,52.66,20,4,8.34
11,Ponta Do Sol,PT,32.6667,-17.1,74.03,66,28,2.57
12,Busselton,AU,-33.65,115.3333,54.1,80,46,9.57
13,Ushuaia,AR,-54.8,-68.3,44.26,42,0,6.91
14,Vaini,TO,-21.2,-175.2,73.56,94,75,4.61
15,Marsh Harbour,BS,26.5412,-77.0636,79.83,64,12,16.75
16,Phitsanulok,TH,16.9167,100.5,72.91,72,38,3.02
17,Beberibe,BR,-4.1797,-38.1306,82.31,55,0,13.22
18,Qaanaaq,GL,77.484,-69.3632,32.36,81,99,12.03
19,Pevek,RU,69.7008,170.3133,13.05,95,99,5.1
20,Bredasdorp,ZA,-34.5322,20.0403,75.49,54,64,10.31
21,Snyder,US,32.7179,-100.9176,70.14,56,0,8.05
22,Puerto Ayora,EC,-0.7393,-90.3518,65.55,92,93,5.99
23,Baruun-Urt,MN,46.6806,113.2792,29.21,43,55,7.72
24,Port Alfred,ZA,-33.5906,26.891,72.09,75,100,27.92
25,Ribeira Grande,PT,38.5167,-28.7,64.8,63,20,9.22
26,Udachnyy,RU,66.4167,112.4,30.45,92,100,8.79
27,Sola,VU,-13.8833,167.55,80.06,77,40,13.13
28,Ninh Binh,VN,20.2539,105.975,76.51,57,31,6.04
29,Bambous Virieux,MU,-20.3428,57.7575,77.22,69,100,10.04
30,Stirion,GR,38.4,22.7167,62.71,55,14,5.1
31,Caxito,AO,-8.5785,13.6643,87.62,51,91,6.55
32,Punta Arenas,CL,-53.15,-70.9167,39.31,81,0,6.91
33,Vestmannaeyjar,IS,63.4427,-20.2734,38.39,65,75,32.21
34,Gazimurskiy Zavod,RU,51.5461,118.3266,29.89,57,69,3.47
35,Turukhansk,RU,65.8167,87.9833,32.09,74,100,7.87
36,Verkhniy Landekh,RU,56.8389,42.5994,50.49,57,79,8.61
37,Hermanus,ZA,-34.4187,19.2345,68.56,71,77,7.09
38,Adre,TD,13.4667,22.2,91.65,19,8,8.55
39,Hofn,IS,64.2539,-15.2082,42.03,65,83,30.91
40,Te Anau,NZ,-45.4167,167.7167,46.42,82,33,2.98
41,Katherine,AU,-14.4667,132.2667,91.72,33,83,4.61
42,Limon,CR,10.0,-83.0333,75.06,82,100,2.71
43,Ovre Ardal,NO,61.3167,7.8,41.88,98,100,4.47
44,Deputatskiy,RU,69.3,139.9,5.49,95,98,4.99
45,Abrau-Dyurso,RU,44.69,37.59,62.06,55,95,8.81
46,Marsa Matruh,EG,31.3525,27.2453,75.7,63,33,23.49
47,Salalah,OM,17.0151,54.0924,83.3,53,11,7.36
48,Tuktoyaktuk,CA,69.4541,-133.0374,24.17,66,100,20.69
49,Norman Wells,CA,65.282,-126.8329,28.38,86,100,10.2
50,Arraial Do Cabo,BR,-22.9661,-42.0278,75.06,69,40,13.8
51,Egvekinot,RU,66.3167,-179.1667,12.69,84,100,11.97
52,Sudak,UA,44.85,34.9667,61.11,66,100,14.27
53,La Ronge,CA,55.1001,-105.2842,29.61,49,81,2.59
54,Jamestown,US,42.097,-79.2353,44.19,90,40,9.22
55,Georgetown,MY,5.4112,100.3354,82.33,86,20,3.44
56,Pangai,TO,-19.8,-174.35,77.05,84,11,8.88
57,Hithadhoo,MV,-0.6,73.0833,81.73,68,100,13.65
58,Touba,CI,8.2833,-7.6833,75.79,81,97,4.79
59,Olinda,BR,-8.0089,-34.8553,82.13,69,75,13.8
60,Kahului,US,20.8947,-156.47,76.84,77,75,8.05
61,Agadez,NE,19.75,10.25,90.57,18,0,16.75
62,Dakar,SN,14.6937,-17.4441,86.88,71,1,10.38
63,Bluff,NZ,-46.6,168.3333,50.97,70,70,23.42
64,San Patricio,US,28.017,-97.5169,82.29,87,5,6.49
65,Gola Gokarannath,IN,28.0833,80.4667,82.85,64,4,4.41
66,Domodossola,IT,46.1165,8.2931,66.25,77,94,3.24
67,Saint-Augustin,CA,51.226,-58.6502,48.02,82,100,4.0
68,Cap Malheureux,MU,-19.9842,57.6142,77.47,61,93,10.0
69,Moron,AR,-34.6534,-58.6198,58.75,92,84,7.23
70,Chokurdakh,RU,70.6333,147.9167,13.23,94,99,9.86
71,Provideniya,RU,64.3833,-173.3,25.92,81,100,13.4
72,Kodiak,US,57.79,-152.4072,49.51,87,100,16.11
73,Hat Yai,TH,7.0084,100.4767,77.18,94,75,3.44
74,Vao,NC,-22.6667,167.4833,70.23,62,0,9.66
75,Klaksvik,FO,62.2266,-6.589,45.52,84,100,19.37
76,Hilo,US,19.7297,-155.09,80.28,94,95,4.0
77,Carnarvon,AU,-24.8667,113.6333,66.7,64,0,23.02
78,Caraquet,CA,47.7941,-64.9386,56.43,99,100,8.21
79,Nikolskoye,RU,59.7035,30.7861,50.79,82,100,11.21
80,Geraldton,AU,-28.7667,114.6,63.01,72,40,9.22
81,Beira,MZ,-19.8436,34.8389,86.09,62,20,13.8
82,Ha Tinh,VN,18.3333,105.9,74.79,70,28,3.27
83,Saint-Philippe,RE,-21.3585,55.7679,78.39,72,15,9.86
84,Ust-Nera,RU,64.5667,143.2,1.22,100,93,3.96
85,Khatanga,RU,71.9667,102.5,18.07,90,77,13.56
86,Kavaratti,IN,10.5669,72.642,82.24,69,100,1.43
87,Comodoro Rivadavia,AR,-45.8667,-67.5,48.06,81,75,1.14
88,Yanagawa,JP,33.1667,130.4,73.38,54,100,2.98
89,Avarua,CK,-21.2078,-159.775,75.25,83,75,6.91
90,Butaritari,KI,3.0707,172.7902,81.72,70,55,18.81
91,Benguela,AO,-12.5763,13.4055,79.84,67,24,10.94
92,Flinders,AU,-34.5833,150.8552,62.19,80,100,4.0
93,Cidreira,BR,-30.1811,-50.2056,63.37,96,100,10.65
94,Cherskiy,RU,68.75,161.3,8.55,96,99,6.78
95,Broome,US,42.2506,-75.833,43.16,84,0,3.44
96,Esperance,AU,-33.8667,121.9,60.12,90,87,12.57
97,Olafsvik,IS,64.8945,-23.7142,35.46,70,93,34.65
98,Torbay,CA,47.6666,-52.7314,49.57,97,100,3.44
99,Mayumba,GA,-3.432,10.6554,81.27,69,97,6.6
100,Macapa,BR,0.0389,-51.0664,85.98,74,0,9.22
101,Lompoc,US,34.6391,-120.4579,62.78,90,100,5.75
102,Varzea Da Palma,BR,-17.5981,-44.7308,76.75,49,16,8.72
103,East London,ZA,-33.0153,27.9116,70.74,73,20,17.27
104,Mana,GF,5.6592,-53.7767,80.87,78,71,6.35
105,Selizharovo,RU,56.8519,33.4487,48.43,68,61,11.48
106,Saldanha,ZA,-33.0117,17.9442,72.18,57,47,8.99
107,Eureka,US,40.8021,-124.1637,56.19,87,0,1.01
108,Rio Tercero,AR,-32.173,-64.1141,56.8,84,3,4.07
109,Verkhnyaya Inta,RU,65.9811,60.3094,37.18,92,100,10.65
