City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
15,Marsh Harbour,BS,79.83,26.5412,-77.0636,Abaco Beach Resort
17,Beberibe,BR,82.31,-4.1797,-38.1306,Villa Arte Pousada Morro Branco
20,Bredasdorp,ZA,75.49,-34.5322,20.0403,Bredasdorp Country Manor
27,Sola,VU,80.06,-13.8833,167.55,Leumerus Bungalows
28,Ninh Binh,VN,76.51,20.2539,105.975,Kinh Do Hotel
29,Bambous Virieux,MU,77.22,-20.3428,57.7575,Casa Tia Villa
31,Caxito,AO,87.62,-8.5785,13.6643,
42,Limon,CR,75.06,10.0,-83.0333,Hotel Playa Bonita
46,Marsa Matruh,EG,75.7,31.3525,27.2453,Beau Site
47,Salalah,OM,83.3,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
50,Arraial Do Cabo,BR,75.06,-22.9661,-42.0278,Pousada Porto Praia
55,Georgetown,MY,82.33,5.4112,100.3354,Cititel Penang
56,Pangai,TO,77.05,-19.8,-174.35,Ha'apai Beach Resort
57,Hithadhoo,MV,81.73,-0.6,73.0833,Scoop Guest House
58,Touba,CI,75.79,8.2833,-7.6833,Hotel de L'Amitié Vraie
59,Olinda,BR,82.13,-8.0089,-34.8553,Flat Quatro Rodas Olinda
60,Kahului,US,76.84,20.8947,-156.47,Maui Seaside Hotel
62,Dakar,SN,86.88,14.6937,-17.4441,Novotel Dakar
64,San Patricio,US,82.29,28.017,-97.5169,"Motel 6 Sinton, TX"
65,Gola Gokarannath,IN,82.85,28.0833,80.4667,Vikas Home
68,Cap Malheureux,MU,77.47,-19.9842,57.6142,Pereybere Hotel & Spa
73,Hat Yai,TH,77.18,7.0084,100.4767,New Season Hotel
76,Hilo,US,80.28,19.7297,-155.09,Hilo Hawaiian Hotel
81,Beira,MZ,86.09,-19.8436,34.8389,Beira Terrace Hotel
83,Saint-Philippe,RE,78.39,-21.3585,55.7679,Le four à pain
86,Kavaratti,IN,82.24,10.5669,72.642,Green leaf
89,Avarua,CK,75.25,-21.2078,-159.775,Paradise Inn
90,Butaritari,KI,81.72,3.0707,172.7902,Isles Sunset Lodge
91,Benguela,AO,79.84,-12.5763,13.4055,Hotel Praia Morena
99,Mayumba,GA,81.27,-3.432,10.6554,LIKWALE LODGE
